cha_id,cha_lib,cha_long,mf1_hd,mf1_debit,mf1_taux,mf1_vit,tc1_temps,couleur_tp,etat_trafic,geo_shape,geo_point_2d
5042,Le Lasseur I2,242,2021-10-13T17:54:00+00:00,360,6.2,16,54,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.567489423064268, 47.23175097008016], [-1.565033179862602, 47.2331539117578]]}","47.2324524409, -1.56626130146"
5156,Americains I3,240,2021-10-13T17:54:00+00:00,180,2.0,19,45,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.567308172017098, 47.23576391609768], [-1.570082073737862, 47.234706165080276]]}","47.2352350406, -1.56869512288"
348,Leclerc,254,2021-10-13T17:54:00+00:00,300,2.05,10,96,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.552018578754572, 47.21816917061857], [-1.550744644329951, 47.218311209892484], [-1.550037009311607, 47.21874370105379], [-1.549443339587319, 47.21939007075878]]}","47.2185626525, -1.5506246946"
53,Barbusse I1,238,2021-10-13T17:54:00+00:00,180,2.5,17,49,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.552562804899468, 47.22630161438926], [-1.552685695571756, 47.226887701506755], [-1.552655123660912, 47.22707137533645], [-1.552590379143051, 47.227180875172444], [-1.552384334073785, 47.22732609883739], [-1.55185909560089, 47.22768537028757], [-1.551362179613846, 47.227621646453166], [-1.551158328605808, 47.227755443096974]]}","47.2272555569, -1.5521582147"
5088,Chauviniere P3,289,2021-10-13T17:54:00+00:00,0,100.0,-1,-1,2,Indéterminé,"{""type"": ""LineString"", ""coordinates"": [[-1.575178999626863, 47.253356992802324], [-1.571857531169751, 47.25205696778301]]}","47.2527069803, -1.5735182654"
5789,Buat I7,164,2021-10-13T17:54:00+00:00,120,1.6,18,32,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.537343243232536, 47.23127800202365], [-1.53612023710085, 47.23250470951163]]}","47.2318913558, -1.53673174017"
5117,Dalby I4,261,2021-10-13T17:54:00+00:00,600,7.9,18,51,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.525413626903793, 47.22831237628044], [-1.526177147431779, 47.227789435607875], [-1.527262367171995, 47.226981230893074], [-1.527680651689965, 47.22654414540386]]}","47.227468306, -1.52658081394"
5009,Schuman P1,319,2021-10-13T17:54:00+00:00,420,5.4,18,65,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.566938559454328, 47.23605504071981], [-1.564898056716017, 47.23354440934012]]}","47.234799725, -1.56591830809"
5015,Patouillerie P2,469,2021-10-13T17:54:00+00:00,240,2.5,21,79,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.576638340277173, 47.24695829055281], [-1.577075715726075, 47.24688875603701], [-1.577851509369227, 47.2465157073695], [-1.578864397713996, 47.24600767983418], [-1.579540268053174, 47.245574034940255], [-1.580409305844569, 47.24506778260768], [-1.581336862307095, 47.244285051815176]]}","47.2457898427, -1.57907639114"
5157,Longchamp I4,226,2021-10-13T17:54:00+00:00,300,2.9,19,43,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.569572243703948, 47.23826280746303], [-1.572392804174913, 47.237593476795055]]}","47.2379281421, -1.57098252394"
12,Rennes I1,461,2021-10-13T17:54:00+00:00,1080,6.2,19,86,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.583097671149603, 47.262435972855734], [-1.586659601929965, 47.26580161543465]]}","47.2641187941, -1.58487863654"
153,La Chapelle P3,390,2021-10-13T17:54:00+00:00,0,0.0,14,104,2,Indéterminé,"{""type"": ""LineString"", ""coordinates"": [[-1.57193743200443, 47.26799266249179], [-1.573477541858274, 47.264635362499185]]}","47.2663140125, -1.57270748693"
493,Jost P2,425,2021-10-13T17:54:00+00:00,360,5.4,17,90,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.569361741171291, 47.23861665271867], [-1.568974454739505, 47.238665889373145], [-1.568261291244175, 47.23863019766022], [-1.567540463270713, 47.23867627988851], [-1.566731067616566, 47.23873361133232], [-1.566362072832263, 47.23876364591928], [-1.56616863351729, 47.238749556830065], [-1.564935298389586, 47.23818765098037], [-1.564129555913072, 47.237879554824616]]}","47.2385248653, -1.56669762679"
5531,Pont Tabarly,261,2021-10-13T17:54:00+00:00,720,6.6,23,41,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.528414896194476, 47.21341589078902], [-1.527958957685311, 47.211086783354986]]}","47.2122513371, -1.52818692694"
543,Pont Léopold P1,312,2021-10-13T17:54:00+00:00,240,2.0,23,49,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.525804535046316, 47.207063544900926], [-1.522805392278352, 47.20513642947659]]}","47.2060999872, -1.52430496366"
91,Luther King I2,306,2021-10-13T17:54:00+00:00,900,30.0,9,126,5,Saturé,"{""type"": ""LineString"", ""coordinates"": [[-1.552178833842885, 47.255252398398156], [-1.552008833659656, 47.255040406673444], [-1.551934627477872, 47.25468691447082], [-1.551936667421018, 47.25425655682518], [-1.551997653995747, 47.25394906750162], [-1.552144239319151, 47.253589161969124], [-1.552539716199717, 47.25269254584577], [-1.552586425945104, 47.25258468805872]]}","47.2539186309, -1.55214187623"
5091,Luther King P1,343,2021-10-13T17:54:00+00:00,1080,10.8,22,55,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.551759786439287, 47.25545020044751], [-1.551524778363501, 47.255136181297416], [-1.55145057524626, 47.254782688794386], [-1.551452619085595, 47.25435233117035], [-1.551513608550634, 47.25404484211187], [-1.551622104208517, 47.25368209410923], [-1.552108524187778, 47.25245221551724]]}","47.2539608548, -1.55166697989"
343,Henri IV P2,104,2021-10-13T17:54:00+00:00,300,7.9,12,32,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.547649303615731, 47.21864775100163], [-1.548339986440008, 47.21946235383046]]}","47.2190550524, -1.54799464503"
323,Magellan P5,96,2021-10-13T17:54:00+00:00,600,10.8,16,22,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.548822648492056, 47.20902926738913], [-1.547625157030977, 47.20932451571323]]}","47.2091768916, -1.54822390276"
267,Tribunes I4,252,2021-10-13T17:54:00+00:00,120,1.2,20,46,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.559184751030207, 47.243789152157944], [-1.556331894139194, 47.24358420334903], [-1.555893423348164, 47.24347208650231]]}","47.2436650197, -1.55753349944"
107,Paris I5a,338,2021-10-13T17:54:00+00:00,240,0.4,25,48,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.515500690348902, 47.25329081693525], [-1.513590119767337, 47.2542007314149], [-1.511990134408943, 47.25517350834364]]}","47.2541876918, -1.5137213844"
2133,Stalingrad P4,270,2021-10-13T17:54:00+00:00,360,5.0,8,120,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.542286739192103, 47.217897618381826], [-1.543240774863302, 47.217604439086905], [-1.544374681122697, 47.21718136921533], [-1.545144990941026, 47.21652701283192]]}","47.2173347948, -1.5437829889"
5095,Lauriol P4,273,2021-10-13T17:54:00+00:00,300,7.9,12,82,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.556033923790052, 47.240906230761844], [-1.559299342501, 47.2398507344562]]}","47.2403784826, -1.55766663315"
97,St Joseph I04,308,2021-10-13T17:54:00+00:00,360,5.4,17,64,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.527180921979958, 47.259091174752186], [-1.528127718803167, 47.25923177146495], [-1.52778233734556, 47.26040830337777], [-1.527553072169705, 47.26059139922447], [-1.527791425670426, 47.26124689295429]]}","47.2599257973, -1.52777565731"
5758,Cardiff P1,231,2021-10-13T17:54:00+00:00,480,4.1,22,37,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.582156573068566, 47.199355185829035], [-1.583767071681156, 47.19895779774811], [-1.585086519230442, 47.198803505875375]]}","47.1990338246, -1.58361330207"
5822,Michelet P4,323,2021-10-13T17:54:00+00:00,840,4.55,21,55,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.555625745539345, 47.24108511129505], [-1.555599017586261, 47.23817818993903]]}","47.2396316506, -1.55561238156"
101,Carquefou I3,322,2021-10-13T17:54:00+00:00,360,5.4,17,68,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.516548825377119, 47.26123195504816], [-1.518938863319342, 47.25883456287236]]}","47.260033259, -1.51774384435"
231,Dos d'Ane I1a,488,2021-10-13T17:54:00+00:00,420,2.05,21,83,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.540991385838211, 47.19793520764149], [-1.541282048784382, 47.197642688803846], [-1.543593420838886, 47.19486133106903], [-1.544671716265745, 47.19445043110285]]}","47.1960189213, -1.54271157171"
388,Auvigne P2,221,2021-10-13T17:54:00+00:00,420,5.0,19,41,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.517053461522292, 47.254166568153], [-1.516995420572833, 47.253992062091235], [-1.516823331095667, 47.2534756987226], [-1.516794051664156, 47.25338484283717], [-1.516739703631272, 47.25321949987239], [-1.516704331267916, 47.25310717880122], [-1.51668302812546, 47.25304288435395], [-1.516621372607778, 47.25286024413538], [-1.516495364183036, 47.252478544207996], [-1.516402743573928, 47.25222367746498]]}","47.2531940976, -1.51673104384"
